StripId,TagId
1,1
1,2
2,1
2,2
2,3
3,1
3,2
4,1
5,1
5,2
5,30
6,1
6,3
6,10
6,11
7,3
7,10
7,11
8,1
8,2
8,10
8,11
8,16
9,1
9,2
10,12
11,2
12,1
12,3
12,10
12,11
13,1
13,2
13,3
14,2
14,13
15,2
16,1
16,2
16,3
17,1
18,1
19,1
19,2
19,10
20,1
21,1
22,3
22,10
22,11
23,2
23,10
23,25
24,1
24,10
24,11
25,2
25,3
25,11
26,3
26,10
26,11
27,1
27,2
27,14
28,1
28,2
28,14
29,2
29,14
29,15
30,2
30,14
31,1
32,2
32,10
32,11
33,1
33,2
34,2
34,3
34,11
35,2
35,3
35,11
36,2
36,3
36,11
37,2
37,3
37,11
38,2
38,3
38,11
39,1
39,2
39,3
40,2
40,3
40,8
41,2
41,3
41,8
41,15
42,2
42,3
42,8
42,15
43,1
43,15
43,27
44,1
44,3
44,8
44,15
45,2
45,3
45,8
45,15
45,30
46,1
46,2
46,3
46,28
46,29
47,1
47,2
47,3
47,8
47,11
47,15
48,2
48,8
48,10
48,11
48,16
49,3
49,8
49,10
50,3
50,8
50,11
51,1
51,2
51,8
51,10
51,11
51,15
51,16
52,10
53,1
53,16
54,1
54,3
54,11
55,1
55,3
55,8
55,10
55,15
55,17
56,1
56,3
56,8
57,1
57,2
57,3
57,10
57,11
58,3
58,10
58,15
59,3
59,8
59,10
59,11
59,17
60,1
60,2
60,3
60,8
60,10
60,15
61,1
61,2
61,3
62,3
62,8
62,11
62,15
63,1
63,3
63,16
64,2
64,18
64,30
65,2
65,3
65,8
65,18
66,2
66,8
66,18
67,2
67,3
67,8
67,18
68,1
68,8
68,10
68,15
68,16
69,1
69,3
69,10
70,1
70,2
70,8
70,15
70,16
71,3
71,8
71,10
71,15
72,10
72,11
72,27
73,3
73,8
73,15
74,1
74,2
74,3
74,8
74,10
74,11
74,15
74,16
75,1
75,3
75,10
94,2
94,3
94,8
95,2
95,3
95,19
96,3
96,10
96,15
97,3
97,10
98,3
98,10
98,15
99,3
99,8
99,10
100,1
101,1
101,8
101,10
101,30
102,1
102,2
102,10
102,11
102,15
102,16
103,3
103,10
104,2
104,8
105,1
105,3
105,10
106,1
107,3
107,10
108,8
108,10
108,15
109,1
109,2
109,11
109,15
109,16
110,2
110,27
111,1
111,27
112,1
112,2
112,8
112,10
112,15
113,2
113,3
113,10
113,11
113,15
113,16
114,1
114,2
114,3
115,3
115,8
115,10
116,2
116,8
116,10
116,15
116,16
117,1
117,2
117,3
118,2
118,3
118,8
118,10
118,11
119,11
120,11
121,3
121,10
121,15
122,1
122,3
122,20
123,10
124,2
124,3
124,8
125,3
125,8
125,10
125,15
125,20
126,2
126,3
126,15
127,3
127,10
127,11
127,15
127,20
128,3
128,8
128,20
129,1
129,3
129,20
130,1
130,2
130,3
130,8
130,15
130,16
131,1
131,2
131,8
131,10
131,32
132,3
132,10
132,20
133,3
133,15
134,3
134,8
134,20
135,3
135,8
135,20
136,2
136,3
136,10
137,1
137,10
137,27
137,31
138,1
138,10
139,2
139,3
139,10
139,15
140,3
140,10
140,15
141,1
141,2
142,2
142,21
143,2
143,3
143,21
144,1
144,3
144,15
145,2
145,3
145,8
145,10
145,20
146,2
146,3
146,10
147,3
147,20
147,21
148,1
148,3
148,10
148,15
148,31
149,20
150,1
150,3
150,13
151,1
151,3
151,15
152,1
152,3
152,10
153,1
153,3
153,8
153,10
153,13
154,1
154,2
154,3
154,10
155,3
155,8
155,10
156,3
156,8
156,10
157,1
157,3
157,10
157,22
158,2
158,3
158,10
159,3
159,15
159,20
160,3
160,10
161,1
161,2
161,3
162,2
162,3
163,1
163,14
163,32
164,3
164,10
164,14
164,20
165,2
165,3
165,8
165,14
166,2
166,3
166,8
166,10
166,14
166,20
167,2
167,3
167,14
168,1
168,3
168,10
168,12
168,17
169,1
169,2
169,3
169,8
169,15
169,16
170,3
170,8
170,10
171,3
171,10
171,20
172,1
172,3
172,8
173,3
173,15
173,20
174,1
174,8
174,10
174,15
174,16
174,18
175,3
175,8
175,10
175,20
176,3
176,10
176,11
176,20
177,3
177,10
177,11
178,1
178,3
178,10
178,17
178,20
179,3
179,10
179,20
180,3
180,10
180,20
181,1
181,2
181,3
182,3
182,8
182,10
183,3
183,8
183,20
184,8
185,3
185,8
185,10
186,2
186,8
186,10
186,15
186,16
187,3
187,8
188,2
188,10
188,18
189,1
189,3
189,10
189,17
190,1
190,3
190,10
190,15
190,16
190,19
190,20
191,2
191,3
191,15
191,18
192,3
192,10
192,18
192,20
193,3
193,10
193,18
193,20
194,3
194,10
194,18
194,20
195,18
196,2
196,3
196,20
197,3
197,15
197,20
198,2
198,8
198,10
198,15
198,16
199,3
199,10
199,20
200,1
200,3
201,1
201,3
201,10
201,20
202,3
202,10
203,3
203,10
203,20
204,3
204,8
204,10
205,1
205,2
205,3
205,8
205,10
205,15
205,16
206,3
206,10
206,20
207,1
207,3
207,10
207,15
207,20
208,1
208,3
208,13
209,1
209,2
209,8
209,10
209,16
210,1
210,2
210,3
210,8
210,10
210,15
210,16
210,20
211,1
211,3
211,10
212,8
212,10
212,15
213,3
213,10
213,20
214,3
214,10
214,20
215,3
215,15
215,19
215,20
216,1
216,2
216,8
216,10
216,19
217,3
217,10
217,20
218,2
218,12
219,2
219,3
219,8
220,2
220,3
220,10
224,3
224,10
224,20
225,3
225,10
225,20
226,3
226,10
226,20
228,2
228,3
228,10
228,20
229,2
229,10
230,3
230,10
230,20
231,3
231,8
231,10
231,15
231,20
232,3
232,10
233,8
234,1
234,2
234,3
234,8
234,20
235,2
235,8
235,10
235,20
235,24
236,8
236,20
236,24
236,33
237,2
237,3
237,15
238,1
238,2
238,3
238,8
238,10
238,15
238,20
239,3
239,10
239,20
240,3
240,10
241,1
241,8
241,10
241,15
241,16
242,1
242,2
242,3
242,8
243,1
244,3
244,10
244,15
244,20
245,3
245,10
245,15
246,3
246,8
246,20
247,1
247,3
247,10
248,3
248,10
248,20
249,2
249,3
249,34
250,3
250,8
250,10
250,20
250,34
251,3
251,8
251,34
252,3
252,8
252,10
252,34
253,10
253,15
253,18
253,20
254,3
254,8
254,10
254,18
254,20
255,10
255,18
255,20
256,3
256,10
256,18
256,20
257,1
257,2
257,3
257,10
257,18
257,20
257,35
258,3
258,10
258,18
258,20
259,3
259,10
259,15
259,18
259,20
260,16
261,16
262,1
262,2
262,8
262,15
262,16
263,1
263,2
263,3
263,10
263,15
263,16
263,20
263,36
264,3
264,10
264,20
265,10
266,8
266,20
267,1
267,2
267,8
267,15
267,16
268,2
268,8
268,10
269,2
269,8
269,10
270,2
270,10
271,2
271,10
272,2
272,3
272,10
272,20
273,3
273,15
273,20
274,3
274,10
274,37
275,3
275,10
275,37
276,3
276,10
276,37
277,3
277,10
277,37
278,3
278,8
278,10
278,20
279,3
279,10
279,37
280,3
280,8
280,10
281,3
281,10
281,38
282,1
282,3
282,10
283,1
283,2
283,3
284,1
284,3
284,10
284,20
285,1
285,3
285,8
286,1
286,3
287,3
287,10
287,20
288,2
288,8
288,10
288,12
288,15
288,16
288,20
288,39
289,2
289,10
290,3
290,15
290,20
290,37
291,1
291,3
291,10
291,12
292,8
293,1
293,2
293,3
294,1
294,15
295,3
295,10
295,37
296,2
296,3
297,3
297,8
297,20
298,3
298,10
298,20
298,37
299,3
299,8
299,20
299,37
300,2
300,3
300,20
301,2
301,3
301,17
301,37
302,2
302,3
302,20
303,2
303,3
304,2
304,3
304,20
305,2
305,3
305,8
305,20
306,3
306,10
306,20
307,3
307,8
307,37
308,3
308,8
308,37
309,3
309,20
309,37
310,2
310,3
310,37
311,3
311,10
311,20
312,2
312,3
312,8
312,37
313,2
313,3
313,37
314,3
314,8
314,10
315,2
315,8
315,10
315,16
315,37
316,10
316,17
316,20
317,3
317,10
318,1
319,2
319,3
319,10
319,20
333,3
333,10
333,20
